Wilfred;Los Palacios;Marbella F.C.;Portero;10/03/1984
Ximo Navarro;Guadahortuna;Deportivo Alavés;Defensa;23/01/1990
Fabian Ruiz;Los Palacios;Napoli F.C.;Medio;03/04/1996
Sergio Ramos;Camas;Real Madrid;Defensa;30/03/1986
Joaquin Sánchez;El Puerto de Santa María;Real Betis;Medio;21/07/1981
Isco;Banalmádena;Real Madrid;Medio;21/04/1992
Jesús Navas;Los Palacios;Sevilla F.C.;Medio;21/11/1985
Samuel Castillejo;Málaga;A.C. Milan;Medio;18/01/1995
Raul Navas;Sevilla;C.A. Osasuna;Defensa;11/05/1988
Brahim Díaz;Málaga;Manchester City F.C.;Delantrero;03/08/1999
David Barral;San Fernando;R. Racing de Santander;Delantrero;10/05/1983
